N,Iterative,Dynamic Programming,Recursive
150,0.000000,0.000007,-
151,0.000000,0.000008,-
152,0.000001,0.000007,-
153,0.000000,0.000007,-
154,0.000001,0.000007,-
155,0.000000,0.000007,-
156,0.000001,0.000008,-
157,0.000000,0.000007,-
158,0.000002,0.000006,-
159,0.000000,0.000007,-
160,0.000000,0.000006,-
161,0.000000,0.000007,-
162,0.000000,0.000006,-
163,0.000000,0.000007,-
164,0.000001,0.000007,-
165,0.000000,0.000006,-
166,0.000000,0.000007,-
167,0.000000,0.000007,-
168,0.000001,0.000007,-
169,0.000001,0.000007,-
170,0.000000,0.000007,-
171,0.000000,0.000007,-
172,0.000000,0.000007,-
173,0.000000,0.000007,-
174,0.000000,0.000006,-
175,0.000000,0.000006,-
176,0.000001,0.000006,-
177,0.000000,0.000008,-
178,0.000000,0.000007,-
179,0.000000,0.000008,-
180,0.000000,0.000007,-
181,0.000000,0.000007,-
182,0.000001,0.000008,-
183,0.000004,0.000007,-
184,0.000000,0.000008,-
185,0.000000,0.000007,-
186,0.000000,0.000007,-
187,0.000001,0.000007,-
188,0.000001,0.000006,-
189,0.000001,0.000007,-
190,0.000000,0.000007,-
191,0.000001,0.000007,-
192,0.000000,0.000007,-
193,0.000002,0.000006,-
194,0.000000,0.000007,-
195,0.000001,0.000007,-
196,0.000000,0.000007,-
197,0.000001,0.000007,-
198,0.000000,0.000008,-
199,0.000000,0.000007,-
200,0.000001,0.000006,-
201,0.000001,0.000007,-
202,0.000000,0.000008,-
203,0.000000,0.000007,-
204,0.000001,0.000007,-
205,0.000000,0.000007,-
206,0.000000,0.000008,-
207,0.000000,0.000008,-
208,0.000000,0.000007,-
209,0.000001,0.000007,-
210,0.000000,0.000007,-
211,0.000000,0.000007,-
212,0.000000,0.000007,-
213,0.000001,0.000007,-
214,0.000000,0.000008,-
215,0.000001,0.000007,-
216,0.000000,0.000007,-
217,0.000000,0.000007,-
218,0.000001,0.000007,-
219,0.000001,0.000006,-
220,0.000001,0.000007,-
221,0.000001,0.000006,-
222,0.000000,0.000007,-
223,0.000000,0.000007,-
224,0.000001,0.000007,-
225,0.000000,0.000008,-
226,0.000001,0.000007,-
227,0.000000,0.000007,-
228,0.000000,0.000007,-
229,0.000000,0.000007,-
230,0.000000,0.000007,-
231,0.000000,0.000007,-
232,0.000000,0.000007,-
233,0.000000,0.000007,-
234,0.000000,0.000007,-
235,0.000000,0.000007,-
236,0.000001,0.000007,-
237,0.000000,0.000007,-
238,0.000000,0.000007,-
239,0.000000,0.000007,-
240,0.000002,0.000007,-
241,0.000000,0.000008,-
242,0.000002,0.000007,-
243,0.000003,0.000008,-
244,0.000001,0.000006,-
245,0.000000,0.000007,-
246,0.000000,0.000007,-
247,0.000000,0.000008,-
248,0.000000,0.000007,-
249,0.000000,0.000007,-
250,0.000001,0.000006,-
251,0.000000,0.000007,-
252,0.000000,0.000007,-
253,0.000001,0.000007,-
254,0.000001,0.000008,-
255,0.000001,0.000008,-
256,0.000000,0.000009,-
257,0.000000,0.000008,-
258,0.000000,0.000007,-
259,0.000002,0.000006,-
260,0.000001,0.000007,-
261,0.000000,0.000017,-
262,0.000000,0.000007,-
263,0.000000,0.000007,-
264,0.000001,0.000007,-
265,0.000000,0.000007,-
266,0.000000,0.000008,-
267,0.000000,0.000009,-
268,0.000002,0.000007,-
269,0.000000,0.000007,-
270,0.000002,0.000012,-
271,0.000001,0.000007,-
272,0.000000,0.000008,-
273,0.000001,0.000007,-
274,0.000001,0.000007,-
275,0.000001,0.000007,-
276,0.000001,0.000007,-
277,0.000000,0.000007,-
278,0.000001,0.000007,-
279,0.000001,0.000007,-
280,0.000000,0.000007,-
281,0.000001,0.000007,-
282,0.000000,0.000008,-
283,0.000000,0.000007,-
284,0.000000,0.000007,-
285,0.000001,0.000007,-
286,0.000000,0.000007,-
287,0.000001,0.000008,-
288,0.000001,0.000007,-
289,0.000000,0.000008,-
290,0.000000,0.000007,-
291,0.000000,0.000007,-
292,0.000000,0.000007,-
293,0.000000,0.000007,-
294,0.000000,0.000008,-
295,0.000002,0.000007,-
296,0.000000,0.000008,-
297,0.000000,0.000007,-
298,0.000003,0.000008,-
299,0.000001,0.000007,-
300,0.000001,0.000006,-
301,0.000000,0.000007,-
302,0.000000,0.000008,-
303,0.000001,0.000007,-
304,0.000000,0.000007,-
305,0.000001,0.000007,-
306,0.000001,0.000007,-
307,0.000000,0.000007,-
308,0.000000,0.000007,-
309,0.000000,0.000008,-
310,0.000001,0.000006,-
311,0.000002,0.000007,-
312,0.000000,0.000007,-
313,0.000000,0.000007,-
314,0.000001,0.000007,-
315,0.000000,0.000007,-
316,0.000001,0.000007,-
317,0.000000,0.000007,-
318,0.000000,0.000008,-
319,0.000001,0.000007,-
320,0.000000,0.000007,-
321,0.000001,0.000008,-
322,0.000000,0.000007,-
323,0.000000,0.000007,-
324,0.000000,0.000007,-
325,0.000001,0.000007,-
326,0.000000,0.000008,-
327,0.000000,0.000008,-
328,0.000000,0.000007,-
329,0.000000,0.000007,-
330,0.000001,0.000007,-
331,0.000001,0.000007,-
332,0.000001,0.000006,-
333,0.000001,0.000007,-
334,0.000000,0.000007,-
335,0.000000,0.000008,-
336,0.000000,0.000007,-
337,0.000001,0.000007,-
338,0.000000,0.000007,-
339,0.000000,0.000007,-
340,0.000000,0.000008,-
341,0.000000,0.000008,-
342,0.000000,0.000007,-
343,0.000002,0.000007,-
344,0.000000,0.000007,-
345,0.000000,0.000007,-
346,0.000000,0.000008,-
347,0.000000,0.000007,-
348,0.000001,0.000007,-
349,0.000000,0.000008,-
350,0.000000,0.000007,-
351,0.000000,0.000007,-
352,0.000000,0.000007,-
353,0.000001,0.000007,-
354,0.000001,0.000007,-
355,0.000000,0.000007,-
356,0.000000,0.000007,-
357,0.000001,0.000007,-
358,0.000001,0.000007,-
359,0.000000,0.000007,-
360,0.000001,0.000007,-
361,0.000002,0.000007,-
362,0.000000,0.000008,-
363,0.000000,0.000008,-
364,0.000000,0.000007,-
365,0.000000,0.000008,-
366,0.000000,0.000008,-
367,0.000001,0.000007,-
368,0.000001,0.000008,-
369,0.000000,0.000007,-
370,0.000000,0.000007,-
371,0.000000,0.000008,-
372,0.000001,0.000007,-
373,0.000002,0.000007,-
374,0.000002,0.000007,-
375,0.000001,0.000006,-
376,0.000000,0.000007,-
377,0.000001,0.000008,-
378,0.000001,0.000006,-
379,0.000000,0.000007,-
380,0.000000,0.000007,-
381,0.000000,0.000007,-
382,0.000002,0.000007,-
383,0.000000,0.000008,-
384,0.000001,0.000007,-
385,0.000000,0.000007,-
386,0.000000,0.000007,-
387,0.000001,0.000007,-
388,0.000000,0.000008,-
389,0.000000,0.000007,-
390,0.000000,0.000007,-
391,0.000000,0.000007,-
392,0.000001,0.000006,-
393,0.000000,0.000007,-
394,0.000001,0.000007,-
395,0.000002,0.000007,-
396,0.000000,0.000007,-
397,0.000000,0.000007,-
398,0.000000,0.000007,-
399,0.000000,0.000007,-
400,0.000001,0.000007,-
401,0.000001,0.000006,-
402,0.000000,0.000008,-
403,0.000000,0.000007,-
404,0.000000,0.000007,-
405,0.000001,0.000007,-
406,0.000001,0.000007,-
407,0.000000,0.000007,-
408,0.000000,0.000008,-
409,0.000001,0.000007,-
410,0.000000,0.000008,-
411,0.000001,0.000007,-
412,0.000000,0.000007,-
413,0.000000,0.000007,-
414,0.000001,0.000007,-
415,0.000000,0.000007,-
416,0.000000,0.000007,-
417,0.000000,0.000007,-
418,0.000000,0.000008,-
419,0.000000,0.000008,-
420,0.000000,0.000008,-
421,0.000000,0.000008,-
422,0.000001,0.000008,-
423,0.000000,0.000008,-
424,0.000000,0.000008,-
425,0.000001,0.000007,-
426,0.000001,0.000007,-
427,0.000000,0.000007,-
428,0.000001,0.000007,-
429,0.000000,0.000007,-
430,0.000001,0.000007,-
431,0.000001,0.000007,-
432,0.000000,0.000007,-
433,0.000000,0.000008,-
434,0.000000,0.000007,-
435,0.000001,0.000007,-
436,0.000001,0.000007,-
437,0.000001,0.000007,-
438,0.000000,0.000007,-
439,0.000001,0.000007,-
440,0.000000,0.000007,-
441,0.000001,0.000007,-
442,0.000000,0.000007,-
443,0.000000,0.000007,-
444,0.000001,0.000007,-
445,0.000000,0.000008,-
446,0.000000,0.000007,-
447,0.000000,0.000007,-
448,0.000000,0.000008,-
449,0.000000,0.000011,-
450,0.000000,0.000008,-
451,0.000000,0.000007,-
452,0.000001,0.000007,-
453,0.000002,0.000007,-
454,0.000000,0.000007,-
455,0.000001,0.000007,-
456,0.000000,0.000008,-
457,0.000000,0.000008,-
458,0.000000,0.000007,-
459,0.000001,0.000008,-
460,0.000001,0.000008,-
461,0.000000,0.000008,-
462,0.000001,0.000007,-
463,0.000000,0.000007,-
464,0.000000,0.000008,-
465,0.000000,0.000008,-
466,0.000000,0.000007,-
467,0.000000,0.000007,-
468,0.000000,0.000008,-
469,0.000000,0.000007,-
470,0.000001,0.000007,-
471,0.000000,0.000007,-
472,0.000000,0.000008,-
473,0.000001,0.000007,-
474,0.000001,0.000008,-
475,0.000000,0.000008,-
476,0.000000,0.000008,-
477,0.000000,0.000007,-
478,0.000001,0.000007,-
479,0.000001,0.000007,-
480,0.000000,0.000007,-
481,0.000000,0.000007,-
482,0.000000,0.000007,-
483,0.000000,0.000008,-
484,0.000000,0.000008,-
485,0.000000,0.000007,-
486,0.000000,0.000007,-
487,0.000000,0.000008,-
488,0.000001,0.000007,-
489,0.000001,0.000008,-
490,0.000001,0.000010,-
491,0.000000,0.000008,-
492,0.000000,0.000007,-
493,0.000001,0.000008,-
494,0.000000,0.000007,-
495,0.000000,0.000008,-
496,0.000000,0.000007,-
497,0.000000,0.000008,-
498,0.000000,0.000007,-
499,0.000000,0.000008,-
500,0.000000,0.000008,-
501,0.000000,0.000008,-
502,0.000000,0.000008,-
503,0.000000,0.000009,-
504,0.000000,0.000008,-
505,0.000000,0.000007,-
506,0.000000,0.000009,-
507,0.000000,0.000008,-
508,0.000001,0.000013,-
509,0.000000,0.000012,-
510,0.000001,0.000009,-
511,0.000001,0.000008,-
512,0.000000,0.000010,-
513,0.000000,0.000007,-
514,0.000000,0.000008,-
515,0.000001,0.000008,-
516,0.000000,0.000012,-
517,0.000000,0.000010,-
518,0.000002,0.000008,-
519,0.000001,0.000009,-
520,0.000000,0.000008,-
521,0.000002,0.000007,-
522,0.000001,0.000008,-
523,0.000001,0.000008,-
524,0.000001,0.000008,-
525,0.000000,0.000009,-
526,0.000001,0.000008,-
527,0.000000,0.000008,-
528,0.000000,0.000008,-
529,0.000002,0.000008,-
530,0.000001,0.000008,-
531,0.000000,0.000008,-
532,0.000001,0.000008,-
533,0.000000,0.000008,-
534,0.000000,0.000008,-
535,0.000000,0.000008,-
536,0.000001,0.000009,-
537,0.000001,0.000008,-
538,0.000001,0.000009,-
539,0.000001,0.000008,-
540,0.000005,0.000028,-
541,0.000002,0.000009,-
542,0.000001,0.000009,-
543,0.000001,0.000017,-
544,0.000001,0.000015,-
545,0.000000,0.000010,-
546,0.000000,0.000008,-
547,0.000000,0.000008,-
548,0.000000,0.000008,-
549,0.000001,0.000008,-
550,0.000002,0.000012,-
551,0.000000,0.000008,-
552,0.000000,0.000010,-
553,0.000000,0.000013,-
554,0.000002,0.000008,-
555,0.000001,0.000007,-
556,0.000001,0.000007,-
557,0.000000,0.000008,-
558,0.000000,0.000008,-
559,0.000001,0.000008,-
560,0.000001,0.000007,-
561,0.000000,0.000007,-
562,0.000001,0.000008,-
563,0.000000,0.000008,-
564,0.000000,0.000008,-
565,0.000003,0.000008,-
566,0.000001,0.000008,-
567,0.000001,0.000008,-
568,0.000001,0.000008,-
569,0.000000,0.000010,-
570,0.000001,0.000012,-
571,0.000005,0.000012,-
572,0.000001,0.000011,-
573,0.000000,0.000009,-
574,0.000001,0.000009,-
575,0.000001,0.000009,-
576,0.000000,0.000010,-
577,0.000001,0.000008,-
578,0.000001,0.000009,-
579,0.000002,0.000009,-
580,0.000000,0.000008,-
581,0.000000,0.000008,-
582,0.000001,0.000007,-
583,0.000000,0.000008,-
584,0.000000,0.000009,-
585,0.000000,0.000008,-
586,0.000001,0.000008,-
587,0.000000,0.000008,-
588,0.000000,0.000009,-
589,0.000001,0.000009,-
590,0.000001,0.000007,-
591,0.000001,0.000007,-
592,0.000001,0.000008,-
593,0.000000,0.000008,-
594,0.000002,0.000007,-
595,0.000001,0.000008,-
596,0.000001,0.000008,-
597,0.000001,0.000008,-
598,0.000002,0.000007,-
599,0.000001,0.000008,-
600,0.000001,0.000008,-
601,0.000000,0.000008,-
602,0.000000,0.000009,-
603,0.000001,0.000007,-
604,0.000000,0.000008,-
605,0.000001,0.000007,-
606,0.000000,0.000008,-
607,0.000001,0.000007,-
608,0.000000,0.000009,-
609,0.000000,0.000008,-
610,0.000001,0.000007,-
611,0.000000,0.000008,-
612,0.000000,0.000008,-
613,0.000001,0.000008,-
614,0.000001,0.000008,-
615,0.000001,0.000008,-
616,0.000000,0.000009,-
617,0.000000,0.000008,-
618,0.000000,0.000008,-
619,0.000000,0.000013,-
620,0.000000,0.000008,-
621,0.000003,0.000009,-
622,0.000001,0.000008,-
623,0.000004,0.000007,-
624,0.000001,0.000008,-
625,0.000001,0.000008,-
626,0.000001,0.000007,-
627,0.000001,0.000008,-
628,0.000001,0.000008,-
629,0.000002,0.000008,-
630,0.000001,0.000008,-
631,0.000000,0.000008,-
632,0.000001,0.000008,-
633,0.000000,0.000009,-
634,0.000000,0.000008,-
635,0.000000,0.000008,-
636,0.000002,0.000008,-
637,0.000001,0.000008,-
638,0.000000,0.000009,-
639,0.000004,0.000008,-
640,0.000004,0.000008,-
641,0.000001,0.000008,-
642,0.000000,0.000008,-
643,0.000000,0.000009,-
644,0.000000,0.000007,-
645,0.000001,0.000008,-
646,0.000000,0.000008,-
647,0.000000,0.000008,-
648,0.000000,0.000008,-
649,0.000000,0.000008,-
650,0.000001,0.000008,-
651,0.000000,0.000008,-
652,0.000001,0.000007,-
653,0.000000,0.000009,-
654,0.000000,0.000008,-
655,0.000002,0.000008,-
656,0.000000,0.000008,-
657,0.000001,0.000008,-
658,0.000000,0.000008,-
659,0.000001,0.000008,-
660,0.000000,0.000008,-
661,0.000000,0.000008,-
662,0.000002,0.000008,-
663,0.000001,0.000007,-
664,0.000000,0.000009,-
665,0.000001,0.000008,-
666,0.000002,0.000008,-
667,0.000001,0.000008,-
668,0.000001,0.000008,-
669,0.000000,0.000008,-
670,0.000001,0.000008,-
671,0.000001,0.000008,-
672,0.000000,0.000007,-
673,0.000001,0.000008,-
674,0.000001,0.000008,-
675,0.000000,0.000008,-
676,0.000001,0.000008,-
677,0.000000,0.000008,-
678,0.000000,0.000007,-
679,0.000001,0.000008,-
680,0.000001,0.000008,-
681,0.000001,0.000008,-
682,0.000000,0.000009,-
683,0.000000,0.000008,-
684,0.000001,0.000008,-
685,0.000001,0.000008,-
686,0.000002,0.000008,-
687,0.000001,0.000011,-
688,0.000001,0.000008,-
689,0.000001,0.000008,-
690,0.000000,0.000008,-
691,0.000002,0.000008,-
692,0.000001,0.000008,-
693,0.000001,0.000008,-
694,0.000000,0.000008,-
695,0.000001,0.000008,-
696,0.000002,0.000008,-
697,0.000000,0.000013,-
698,0.000001,0.000008,-
699,0.000001,0.000009,-
700,0.000000,0.000008,-
701,0.000000,0.000008,-
702,0.000002,0.000008,-
703,0.000000,0.000008,-
704,0.000000,0.000009,-
705,0.000001,0.000008,-
706,0.000001,0.000008,-
707,0.000000,0.000008,-
708,0.000001,0.000008,-
709,0.000001,0.000007,-
710,0.000000,0.000008,-
711,0.000001,0.000007,-
712,0.000001,0.000008,-
713,0.000000,0.000007,-
714,0.000000,0.000009,-
715,0.000003,0.000009,-
716,0.000000,0.000008,-
717,0.000000,0.000008,-
718,0.000002,0.000008,-
719,0.000000,0.000008,-
720,0.000001,0.000007,-
721,0.000000,0.000008,-
722,0.000001,0.000007,-
723,0.000001,0.000008,-
724,0.000000,0.000008,-
725,0.000000,0.000009,-
726,0.000000,0.000008,-
727,0.000000,0.000008,-
728,0.000000,0.000008,-
729,0.000001,0.000009,-
730,0.000000,0.000008,-
731,0.000001,0.000008,-
732,0.000001,0.000007,-
733,0.000002,0.000008,-
734,0.000000,0.000008,-
735,0.000001,0.000008,-
736,0.000000,0.000008,-
737,0.000000,0.000008,-
738,0.000000,0.000010,-
739,0.000000,0.000008,-
740,0.000003,0.000008,-
741,0.000003,0.000008,-
742,0.000004,0.000008,-
743,0.000001,0.000008,-
744,0.000003,0.000008,-
745,0.000003,0.000008,-
746,0.000000,0.000009,-
747,0.000001,0.000008,-
748,0.000001,0.000009,-
749,0.000000,0.000009,-
750,0.000000,0.000009,-
751,0.000004,0.000008,-
752,0.000001,0.000008,-
753,0.000000,0.000007,-
754,0.000003,0.000008,-
755,0.000001,0.000009,-
756,0.000005,0.000009,-
757,0.000000,0.000011,-
758,0.000002,0.000008,-
759,0.000001,0.000008,-
760,0.000001,0.000008,-
761,0.000001,0.000007,-
762,0.000000,0.000008,-
763,0.000000,0.000008,-
764,0.000000,0.000009,-
765,0.000001,0.000008,-
766,0.000001,0.000008,-
767,0.000001,0.000009,-
768,0.000000,0.000008,-
769,0.000000,0.000008,-
770,0.000001,0.000008,-
771,0.000000,0.000008,-
772,0.000001,0.000008,-
773,0.000000,0.000008,-
774,0.000001,0.000008,-
775,0.000000,0.000008,-
776,0.000001,0.000008,-
777,0.000000,0.000008,-
778,0.000000,0.000008,-
779,0.000001,0.000008,-
780,0.000002,0.000008,-
781,0.000004,0.000008,-
782,0.000001,0.000008,-
783,0.000000,0.000008,-
784,0.000001,0.000008,-
785,0.000001,0.000008,-
786,0.000001,0.000008,-
787,0.000000,0.000008,-
788,0.000001,0.000008,-
789,0.000001,0.000008,-
790,0.000000,0.000007,-
791,0.000000,0.000008,-
792,0.000000,0.000009,-
793,0.000000,0.000008,-
794,0.000001,0.000008,-
795,0.000000,0.000009,-
796,0.000001,0.000008,-
797,0.000001,0.000009,-
798,0.000000,0.000008,-
799,0.000000,0.000008,-
800,0.000002,0.000008,-
801,0.000000,0.000008,-
802,0.000000,0.000008,-
803,0.000000,0.000007,-
804,0.000001,0.000008,-
805,0.000001,0.000008,-
806,0.000001,0.000013,-
807,0.000000,0.000008,-
808,0.000000,0.000008,-
809,0.000001,0.000008,-
810,0.000000,0.000008,-
811,0.000001,0.000008,-
812,0.000001,0.000008,-
813,0.000001,0.000008,-
814,0.000000,0.000009,-
815,0.000000,0.000008,-
816,0.000000,0.000008,-
817,0.000000,0.000009,-
818,0.000000,0.000008,-
819,0.000000,0.000008,-
820,0.000001,0.000008,-
821,0.000001,0.000008,-
822,0.000000,0.000008,-
823,0.000001,0.000008,-
824,0.000000,0.000009,-
825,0.000000,0.000008,-
826,0.000000,0.000009,-
827,0.000001,0.000008,-
828,0.000001,0.000008,-
829,0.000001,0.000008,-
830,0.000001,0.000008,-
831,0.000000,0.000008,-
832,0.000001,0.000008,-
833,0.000001,0.000008,-
834,0.000000,0.000009,-
835,0.000000,0.000008,-
836,0.000000,0.000008,-
837,0.000001,0.000008,-
838,0.000001,0.000008,-
839,0.000002,0.000008,-
840,0.000001,0.000008,-
841,0.000000,0.000008,-
842,0.000000,0.000009,-
843,0.000000,0.000008,-
844,0.000002,0.000008,-
845,0.000002,0.000008,-
846,0.000002,0.000008,-
847,0.000003,0.000008,-
848,0.000001,0.000009,-
849,0.000000,0.000008,-
850,0.000001,0.000008,-
851,0.000002,0.000008,-
852,0.000000,0.000008,-
853,0.000001,0.000007,-
854,0.000001,0.000008,-
855,0.000001,0.000008,-
856,0.000000,0.000008,-
857,0.000002,0.000008,-
858,0.000000,0.000008,-
859,0.000002,0.000008,-
860,0.000001,0.000009,-
861,0.000000,0.000010,-
862,0.000000,0.000008,-
863,0.000000,0.000009,-
864,0.000001,0.000008,-
865,0.000001,0.000008,-
866,0.000000,0.000008,-
867,0.000001,0.000009,-
868,0.000000,0.000008,-
869,0.000000,0.000009,-
870,0.000000,0.000008,-
871,0.000000,0.000009,-
872,0.000001,0.000009,-
873,0.000000,0.000008,-
874,0.000001,0.000008,-
875,0.000000,0.000009,-
876,0.000000,0.000008,-
877,0.000002,0.000008,-
878,0.000000,0.000009,-
879,0.000001,0.000009,-
880,0.000000,0.000009,-
881,0.000001,0.000008,-
882,0.000001,0.000009,-
883,0.000000,0.000008,-
884,0.000001,0.000008,-
885,0.000000,0.000008,-
886,0.000002,0.000008,-
887,0.000002,0.000008,-
888,0.000000,0.000009,-
889,0.000001,0.000009,-
890,0.000000,0.000008,-
891,0.000000,0.000009,-
892,0.000001,0.000008,-
893,0.000000,0.000008,-
894,0.000001,0.000008,-
895,0.000001,0.000008,-
896,0.000001,0.000009,-
897,0.000001,0.000008,-
898,0.000000,0.000008,-
899,0.000000,0.000009,-
900,0.000001,0.000012,-
901,0.000000,0.000009,-
902,0.000001,0.000009,-
903,0.000002,0.000008,-
904,0.000000,0.000008,-
905,0.000000,0.000008,-
906,0.000001,0.000008,-
907,0.000001,0.000008,-
908,0.000000,0.000008,-
909,0.000000,0.000008,-
910,0.000001,0.000009,-
911,0.000000,0.000009,-
912,0.000000,0.000008,-
913,0.000000,0.000008,-
914,0.000000,0.000010,-
915,0.000002,0.000008,-
916,0.000000,0.000009,-
917,0.000002,0.000008,-
918,0.000000,0.000009,-
919,0.000001,0.000008,-
920,0.000001,0.000008,-
921,0.000001,0.000008,-
922,0.000000,0.000009,-
923,0.000000,0.000008,-
924,0.000001,0.000008,-
925,0.000000,0.000009,-
926,0.000000,0.000010,-
927,0.000000,0.000009,-
928,0.000000,0.000009,-
929,0.000000,0.000009,-
930,0.000002,0.000008,-
931,0.000000,0.000008,-
932,0.000001,0.000008,-
933,0.000001,0.000008,-
934,0.000000,0.000010,-
935,0.000000,0.000008,-
936,0.000002,0.000008,-
937,0.000001,0.000008,-
938,0.000000,0.000009,-
939,0.000001,0.000009,-
940,0.000001,0.000008,-
941,0.000001,0.000008,-
942,0.000000,0.000010,-
943,0.000001,0.000008,-
944,0.000000,0.000008,-
945,0.000000,0.000009,-
946,0.000000,0.000008,-
947,0.000003,0.000008,-
948,0.000000,0.000010,-
949,0.000000,0.000008,-
950,0.000000,0.000009,-
951,0.000002,0.000008,-
952,0.000000,0.000008,-
953,0.000000,0.000008,-
954,0.000000,0.000010,-
955,0.000002,0.000008,-
956,0.000000,0.000009,-
957,0.000001,0.000008,-
958,0.000001,0.000009,-
959,0.000000,0.000009,-
960,0.000001,0.000008,-
961,0.000004,0.000009,-
962,0.000004,0.000008,-
963,0.000004,0.000008,-
964,0.000001,0.000009,-
965,0.000001,0.000008,-
966,0.000000,0.000009,-
967,0.000001,0.000009,-
968,0.000001,0.000009,-
969,0.000001,0.000012,-
970,0.000001,0.000008,-
971,0.000000,0.000009,-
972,0.000001,0.000008,-
973,0.000001,0.000009,-
974,0.000002,0.000008,-
975,0.000001,0.000009,-
976,0.000001,0.000008,-
977,0.000001,0.000008,-
978,0.000001,0.000008,-
979,0.000001,0.000008,-
980,0.000004,0.000008,-
981,0.000001,0.000009,-
982,0.000003,0.000010,-
983,0.000001,0.000012,-
984,0.000001,0.000011,-
985,0.000000,0.000012,-
986,0.000001,0.000009,-
987,0.000001,0.000008,-
988,0.000001,0.000009,-
989,0.000001,0.000009,-
990,0.000005,0.000009,-
991,0.000000,0.000010,-
992,0.000000,0.000009,-
993,0.000001,0.000008,-
994,0.000000,0.000009,-
995,0.000002,0.000008,-
996,0.000001,0.000009,-
997,0.000005,0.000008,-
